ID,Seed,Levels,Wall_ins_thickness,Roof_ins_thickness,Ground_ins_thickness,Wnd_density_south,Wnd_density_north,Wnd_density_west,Wnd_density_east,Window_Option,Shading,Exterior_Surface,Form_factor,Windows,Walls,Win north area,Win south area,Win west area,Win east area,Wall area,Roof area,Ground area,imgName,Total CO2,MaterialCO2,OperationCO2,CO2 End of Life,Climate-location,Construction-preset,C3C4 MaterialCO2,D Material CO2,img
69,15740,4,0.17,0.25,0.1,0.183426,0.247412,0.16559,0.304781,1,0,2691.916208,1.682448,339.594992,1548.237152,147.431273,121.22167,32.86501,38.077039,1208.64216,571.839528,571.839528,s15671i69d100.jpg,833748.304176,155971.012865,677777.291311,9994.115159,0,2,31735.759869,-39107.562344,ID69.png
70,15741,3,0.17,0.25,0.1,0.366275,0.247412,0.16559,0.304781,1,0,2582.95947,1.61435,334.197749,1163.07966,104.717022,155.025547,26.211349,48.243831,828.881912,709.939905,709.939905,s15671i70d30.jpg,836604.663441,169845.207301,666759.45614,11115.622011,0,2,28197.382049,-44043.956123,ID70.png
72,15743,3,0.17,0.25,0.1,0.199123,0.175776,0.270075,0.209266,1,0,3063.477431,1.914673,239.02989,1160.44932,65.798079,74.537789,55.607223,43.086798,921.41943,951.514056,951.514056,s15671i72d33.jpg,1192700,452357.309256,740328.953562,41274.173097,2,0,9473.993961,-50261.075675,ID72.png
73,15744,4,0.17,0.25,0.1,0.199123,0.25414,0.270075,0.209266,1,0,2918.98212,1.824364,370.464049,1614.090275,159.686296,125.117403,48.263655,37.396696,1243.626225,652.445923,652.445923,s15671i73d108.jpg,1216900,475113.37634,741771.434956,39562.184441,2,0,9341.341562,-41278.803782,ID73.png
74,15745,3,0.17,0.25,0.1,0.381972,0.25414,0.270075,0.209266,1,0,2983.756274,1.864848,338.473568,1161.045059,97.598126,146.69016,53.066862,41.118421,822.571491,911.355608,911.355608,s15671i74d36.jpg,1157400,439490.276485,717956.898295,39184.127126,2,0,8926.588612,-48684.923827,ID74.png
75,15746,5,0.17,0.25,0.1,0.381972,0.25414,0.17456,0.313751,1,0,2645.468121,1.653418,497.166049,1658.892553,143.626211,256.590462,69.242653,27.706723,1161.726503,493.287784,493.287784,s15671i75d145.jpg,1330900,466274.797462,864652.513734,37304.361096,2,0,8741.352159,-40433.439432,ID75.png
76,15747,3,0.17,0.25,0.1,0.214821,0.182503,0.17456,0.313751,1,0,3219.314306,2.012071,266.128379,1236.312502,71.656708,84.345701,39.367597,70.758373,970.184123,991.500902,991.500902,s15671i76d36.jpg,1247700,472611.647257,775116.404529,42949.265216,2,0,9849.490976,-51607.159143,ID76.png
77,15748,5,0.17,0.25,0.1,0.214821,0.182503,0.279046,0.313751,1,0,3317.000772,2.073125,441.354378,2048.937949,127.650786,231.987079,61.905356,19.811157,1607.583571,634.031412,634.031412,s15671i77d155.jpg,1078200,179113.810589,899122.980089,12125.978644,0,2,41712.668424,-47156.148488,ID77.png
78,15749,3,0.17,0.25,0.1,0.39767,0.260867,0.279046,0.313751,1,0,3363.323743,2.102077,457.457371,1419.202752,146.059237,222.654967,41.77385,46.969317,961.745381,972.060496,972.060496,s15671i78d45.jpg,1079700,201933.633517,877792.182451,13769.277476,0,2,35734.444786,-53071.4117,ID78.png
79,15750,5,0.17,0.25,0.1,0.39767,0.260867,0.279046,0.218236,1,0,2880.512628,1.80032,580.586983,1848.91785,195.535309,298.077059,48.805122,38.169492,1268.330867,515.797389,515.797389,s15671i79d155.jpg,1276800,183459.746377,1093300,10661.217538,0,2,34429.876286,-42163.444174,ID79.png
